#gene	pmid_counts
7454	237
3181	236
3371	236
3814	236
5915	236
7035	236
727	236
1281	235
2177	235
2516	235
54790	235
6716	235
71	235
7248	235
952	235
407021	234
5052	234
8877	234
10419	233
1445	233
4976	233
7494	233
8797	233
1003	232
2324	232
249	232
3491	232
5069	232
7409	232
7416	232
9	232
9564	232
100	231
2057	231
5045	231
590	231
7314	231
9368	231
10499	230
1612	230
2023	230
350	230
488	230
632	230
6441	230
1459	229
23327	229
23476	229
6833	229
919	229
10059	228
4306	228
6929	228
773	228
8792	228
5268	227
5921	227
7187	227
7532	227
9575	227
1655	226
1660	226
5928	226
7054	226
7507	226
7518	226
1435	225
1514	225
59	225
634	225
6817	225
7166	225
7846	225
10643	224
3055	224
3485	224
56616	224
8660	224
1048	223
1654	223
2852	223
4254	223
64135	223
7039	223
5167	222
5170	222
6654	222
8862	222
118	221
2919	221
3192	221
3675	221
382	221
467	221
2246	220
405	220
406985	220
5292	220
5584	220
57506	220
9076	220
1138	219
1361	219
1910	219
2072	219
2167	219
308	219
3164	219
3663	219
3718	219
5037	219
8312	219
1634	218
25937	218
2810	218
3482	218
3973	218
4176	218
51176	218
150	217
1604	217
1806	217
186	217
3728	217
6607	217
701	217
9173	217
156	216
4171	216
51094	216
5518	216
5588	216
6010	216
6390	216
7014	216
942	216
246778	215
2705	215
3567	215
3811	215
4155	215
4478	215
5077	215
5144	215
5423	215
8314	215
126	214
5627	214
6262	214
6690	214
6921	214
7471	214
840	214
1785	213
23451	213
3856	213
5445	213
5710	213
5744	213
6364	213
7020	213
81	213
8289	213
9332	213
10392	212
2902	212
3939	212
4690	212
5664	212
6548	212
6688	212
10381	211
10856	211
1540	211
546	211
580	211
5906	211
6616	211
10397	210
1136	210
1558	210
2264	210
2903	210
375	210
4772	210
5705	210
6402	210
928	210
9839	210
10657	209
121504	209
3753	209
4317	209
5320	209
6351	209
1399	208
24	208
407018	208
4607	208
7043	208
943	208
966	208
996	208
1378	207
2923	207
3577	207
387715	207
7100	207
85363	207
995	207
10630	206
111099027	206
111099028	206
1282	206
2938	206
80781	206
10133	205
1621	205
1742	205
406935	205
4773	205
624	205
169026	204
4040	204
4179	204
51343	204
5321	204
7334	204
941	204
1739	203
1843	203
83737	203
87	203
1909	202
3125	202
3127	202
4261	202
5605	202
708	202
7185	202
1392	201
23410	201
23468	201
2678	201
3852	201
4522	201
6863	201
6925	201
8607	201
9531	201
25939	200
2624	200
2646	200
27113	200
64805	200
6670	200
823	200
43	199
5291	199
6613	199
1440	198
1672	198
2668	198
337	198
3976	198
5311	198
5587	198
6418	198
7096	198
1269	197
1436	197
2717	197
3169	197
406952	197
5725	197
6891	197
7448	197
2160	196
2161	196
407008	196
5551	196
6427	196
6722	196
1028	195
10544	195
1137	195
1487	195
2215	195
2237	195
3683	195
3778	195
406986	195
5451	195
1012	194
27035	194
3184	194
476	194
5376	194
6624	194
7168	194
10892	193
10919	193
3351	193
3732	193
3836	193
51311	193
6530	193
808	193
9927	193
200316	192
2213	192
283	192
3708	192
4352	192
57007	192
6422	192
6595	192
760	192
100506658	191
111589215	191
1861	191
2074	191
246	191
2643	191
4928	191
5649	191
59341	191
7299	191
894	191
2169	190
3126	190
3183	190
8038	190
84062	190
1639	189
2081	189
26762	189
2719	189
2740	189
30009	189
5978	189
6356	189
6404	189
6721	189
7070	189
7414	189
967	189
10000	188
12	188
5395	188
55054	188
7533	188
10644	187
1232	187
5903	187
7019	187
7067	187
7849	187
79728	187
3609	186
406992	186
5062	186
5644	186
6923	186
2002	185
4599	185
6337	185
6649	185
7466	185
9475	185
1356	184
1839	184
54901	184
6195	184
6311	184
710	184
8473	184
89780	184
2175	183
274	183
3416	183
4015	183
406984	183
407007	183
653509	183
7013	183
7879	183
8742	183
1832	182
2770	182
341	182
5196	182
5598	182
6556	182
6869	182
7538	182
89	182
896	182
993	182
11140	181
3156	181
3459	181
6517	181
10253	180
1594	180
2395	180
51206	180
5524	180
629	180
112744	179
1495	179
1591	179
4321	179
4929	179
6416	179
70	179
8554	179
8741	179
8766	179
22933	178
3047	178
4149	178
4738	178
51129	178
6188	178
6683	178
6872	178
7012	178
1482	177
2512	177
406907	177
4841	177
5431	177
668	177
7001	177
317	176
326	176
406950	176
6421	176
6950	176
7297	176
1022	175
1294	175
23705	175
3291	175
3921	175
5216	175
54600	175
57142	175
6653	175
7352	175
912	175
10257	174
1409	174
2026	174
3662	174
406881	174
4654	174
5296	174
57521	174
6520	174
6804	174
721	174
815	174
1901	173
3251	173
5582	173
5708	173
5971	173
7038	173
7408	173
9146	173
9636	173
10014	172
1235	172
1647	172
1859	172
5308	172
5434	172
6197	172
6736	172
7225	172
7374	172
8542	172
1462	171
2071	171
231	171
3087	171
4129	171
4208	171
5966	171
6741	171
8065	171
8243	171
2346	170
29128	170
374	170
5687	170
6752	170
6773	170
961	170
2010	169
407035	169
5447	169
5469	169
5563	169
8349	169
105259599	168
10628	168
107963955	168
1513	168
252995	168
3516	168
359	168
4162	168
4926	168
498	168
5429	168
54583	168
55600	168
688	168
11065	167
1719	167
1759	167
1778	167
4001	167
5093	167
5354	167
8453	167
1890	166
3187	166
3827	166
3981	166
3992	166
4277	166
4585	166
5034	166
51752	166
7113	166
8915	166
100048912	165
10197	165
1131	165
2621	165
360	165
3651	165
406988	165
4283	165
54210	165
5976	165
7364	165
9451	165
1081	164
28996	164
3804	164
3832	164
3931	164
406911	164
538	164
573	164
6118	164
10406	163
11091	163
2495	163
2660	163
2947	163
2959	163
383	163
4214	163
4583	163
5154	163
5339	163
5919	163
835	163
2771	162
3048	162
406973	162
6566	162
10563	161
11132	161
27086	161
336	161
3440	161
4192	161
5564	161
5701	161
5734	161
7094	161
972	161
9968	161
997	161
10075	160
2101	160
3339	160
3488	160
4855	160
7173	160
720	160
10333	159
10521	159
3020	159
5934	159
6272	159
6584	159
7220	159
862	159
111365141	158
2548	158
2549	158
5289	158
5592	158
5771	158
6007	158
1108	157
2122	157
2746	157
29102	157
2931	157
4864	157
4916	157
51548	157
5337	157
5684	157
653361	157
7376	157
805	157
94	157
1316	156
1452	156
3454	156
3623	156
389	156
406928	156
407015	156
407029	156
4172	156
5745	156
6709	156
7356	156
9261	156
108663987	155
11335	155
2274	155
2313	155
2969	155
3205	155
3603	155
3802	155
406983	155
5688	155
6194	155
6304	155
657	155
7465	155
7525	155
3054	154
3206	154
3589	154
3803	154
5076	154
5432	154
5530	154
6366	154
7391	154
7917	154
81631	154
9235	154
100132285	153
2048	153
2736	153
30061	153
3099	153
3665	153
3920	153
3937	153
6737	153
727897	153
780	153
79577	153
83990	153
9641	153
10804	152
1454	152
1760	152
22948	152
23118	152
3301	152
3305	152
5501	152
55107	152
5618	152
5702	152
6125	152
639	152
664	152
7277	152
1736	151
2782	151
3185	151
3280	151
3664	151
4747	151
506	151
5230	151
54822	151
6659	151
7031	151
8644	151
9730	151
11156	150
11338	150
1287	150
2296	150
23512	150
2737	150
406942	150
4359	150
4907	150
5048	150
5079	150
6278	150
6663	150
7074	150
7704	150
9020	150
9353	150
10411	149
1520	149
190	149
22926	149
2494	149
2648	149
3813	149
406	149
406996	149
494324	149
5008	149
5168	149
54205	149
5931	149
6223	149
7369	149
7439	149
9415	149
10146	148
10376	148
1173	148
2030	148
3398	148
4547	148
5293	148
5338	148
6240	148
6609	148
8661	148
1674	147
1871	147
214	147
226	147
29851	147
3113	147
3560	147
5500	147
58191	147
6528	147
9474	147
9656	147
1082	146
1938	146
23569	146
340061	146
3428	146
3759	146
3861	146
57154	146
6915	146
7280	146
7350	146
868	146
22919	145
29108	145
4544	145
6392	145
712	145
7170	145
7913	145
79602	145
824	145
916	145
10642	144
10963	144
1289	144
241	144
3337	144
3562	144
3965	144
406940	144
406982	144
5657	144
6385	144
6477	144
7432	144
818	144
9536	144
10371	143
11009	143
1643	143
176	143
2252	143
23385	143
3292	143
396	143
406910	143
4205	143
5020	143
5887	143
6041	143
8431	143
8549	143
8864	143
9588	143
10232	142
10498	142
10594	142
1230	142
2060	142
2209	142
2280	142
3191	142
5437	142
554	142
5696	142
5764	142
6095	142
6506	142
65125	142
8140	142
8200	142
8239	142
8788	142
2166	141
2202	141
2566	141
27429	141
4486	141
51135	141
5576	141
5707	141
5932	141
